id,name,amenity,lat,lon
475,Công viên Lam Sơn,,10.775965819355704,106.70255329948147
476,Unknown,,10.777292767664884,106.70126735212979
477,Unknown,parking,10.781801627871781,106.70361528610042
478,Unknown,parking,10.7764069805883,106.69975975317837
479,Unknown,,10.77584451893279,106.699761122692
480,Unknown,parking,10.775323112032725,106.69965319438022
481,Unknown,parking,10.775709684749014,106.69985510481366
482,Unknown,parking,10.77592480331708,106.69999603939488
483,Trường Tiểu học Nguyễn Thái Bình,school,10.76857245572736,106.69959669154848
484,Trường Tiểu học Khai Minh,school,10.77026489386311,106.70005466883426
485,Unknown,parking,10.776587245619186,106.70275699118329
486,Unknown,parking,10.776240704341237,106.70313314432889
487,Trường Hoa Ngữ Nhật Tân,college,10.771490172984615,106.70342870588283
488,Trường Tiểu Học Hoà Bình,school,10.771559516405645,106.70280141173082
489,Trường Trung học cơ sở Võ Trường Toản,school,10.786162931010496,106.70549722546299
490,Trường Cán bộ Quản lý giáo dục Thành phố Hồ Chí Minh,college,10.786001800000001,106.7059845
491,Bãi giữ xe 42 Chu Mạnh Trinh,parking,10.783467530163257,106.70329476710802
492,Trường Trung học phổ thông Ernst Thälmann,school,10.768930611563501,106.6955099531801
493,Unknown,parking,10.767047927837387,106.69783507249528
494,Trường Trung học cơ sở Minh Đức,school,10.766343805147946,106.69573848345397
495,Trường Trung học cơ sở Đồng Khởi,school,10.76581058247817,106.69715017454502
496,Đại học Văn Lang,university,10.762818400000002,106.69328235
497,Trường Tiểu học Lương Thế Vinh,school,10.76282048035042,106.69415443766958
498,Trường Trung học phổ thông Lương Thế Vinh,school,10.763304939542952,106.69379717860943
499,Khu đậu xe Samco,parking,10.762468415186422,106.69531752740188
500,Trường Chính sách công và Phát triển nông thôn,college,10.785654860396576,106.70164023962235
501,Trường Trung học cơ sở Trần Văn Ơn,school,10.788323723959149,106.69778128759755
502,Trường Trung học phổ thông Năng Khiếu Thể Dục Thể Thao,school,10.791068552443024,106.69861889902177
503,Unknown,,10.76413988114185,106.6987825000435
