id,name,amenity,lat,lon,road_node
303,Tòa án Nhân dân Thành phố,,10.7759926,106.6987823,5743072751
304,Trường Cao đẳng Kỹ thuật Cao Thắng,,10.771523,106.700882,12212093091
305,Trường Trung học Phổ thông Chuyên Lê Hồng Phong,,10.7644625,106.6821634,5780783992
306,Trống Đồng,,10.7730138,106.6906711,4609310620
307,Trống Đồng,,10.7723938,106.6914603,4603207418
308,Diamond Plaza,,10.78092,106.6991745,10978360608
309,Sân vận động Hoa Lư,,10.787152,106.7010822,2403047190
310,Trường Trung cấp Kỹ thuật Nông nghiệp,,10.7891734,106.6987603,411926704
311,Diamond Plaza,,10.7807618,106.6988192,12721904611
312,Bảo tàng Lịch sử Việt Nam,,10.7866918,106.7043355,10964388727
313,Khách sạn Sofitel,,10.7842282,106.7020227,4605462429
314,Nhà thờ Huyện Sỹ,,10.767705,106.6886561,411926098
315,Chợ Thái Bình,,10.7669365,106.6877782,4603797315
316,Nhà sách Minh Khai,,10.7660683,106.6827041,11017260996
317,Bệnh viện Truyền máu Huyết học,,10.7675866,106.6849954,5762711576
318,Tôn Thất Tùng,,10.7696619,106.6907636,8345090612
319,Mầm non Hoa Lư,,10.7841719,106.7075841,9708466478
320,TTTM Sài Gòn,,10.7842885,106.7043223,11510232020
321,Bà Lê Chân,,10.7917146,106.6902974,411926140
322,Đa Kao - 30 Trần Quang Khải,,10.7925985,106.6949721,7940916998
323,Nguyễn Hữu Cầu,,10.7922021,106.6928116,411926021
324,Trạm trung chuyển Hàm Nghi,,10.7711507,106.6996046,9591636815
325,Trạm trung chuyển Hàm Nghi,,10.7711451,106.6998113,9591636815
326,Trạm trung chuyển Hàm Nghi,,10.7711359,106.7000466,9591636815
327,Trạm trung chuyển Hàm Nghi,,10.7708974,106.7003947,411917839
328,Trần Hưng Đạo,,10.7685577,106.6949906,6773282380
329,Nhà thờ Đức Bà,,10.7792374,106.6991514,411918767
330,Pasteur,,10.7782822,106.6992407,411919306
331,Nam Kỳ Khởi Nghĩa,,10.777234,106.6983113,411926696
332,Chợ Nga,,10.7617427,106.6962616,5772159000
333,Cầu Nguyễn Văn Cừ,,10.7559639,106.689258,11824860648
334,Chợ Nga,,10.7618691,106.6966726,5772159000
335,Lê Thị Hồng Gấm,,10.7691258,106.698333,411926712
336,TTTM Vincom,,10.7785767,106.7016647,411926594
337,Bệnh viện Nhi đồng 2,,10.7807246,106.7036308,411921534
338,Ba Son,,10.7815207,106.7068305,13521117633
339,Ba Son,,10.7818263,106.7071024,13521117633
340,TTTM Sài Gòn,,10.7838212,106.7043628,8141066122
341,Chu Mạnh Trinh,,10.780897,106.7049261,4605168357
342,Sở Kế hoạch và Đầu tư,,10.7790053,106.7032821,411926498
343,Vincom Center Đồng Khởi - 72 Lê Thánh Tôn,,10.7778204,106.702246,411926157
344,Phố đi bộ Nguyễn Huệ,,10.7754135,106.7001378,411919215
345,Nhà khách Bộ Công an,,10.7620222,106.6863007,411926194
346,Trần Hưng Đạo,,10.7645395,106.6918772,5781023253
347,Nguyễn Đình Chiểu,,10.7898169,106.7021296,411925984
348,Nguyễn Cư Trinh,,10.7646555,106.69179,5781023253
349,Cống Quỳnh,,10.7638709,106.6896949,5780842940
350,Chùa Lâm Tế,,10.7657514,106.6879201,4615020060
